id,nom,ville,age,statut
1,Alpha,Labé,30.0,actif
2,Alpha,Conakry,18.0,inactif
3,Alpha,Kankan,18.0,actif
4,Gamma,Kindia,18.0,inactif
5,Alpha,Labé,23.529411764705884,actif
6,Alpha,Labé,35.0,inactif
7,Alpha,Labé,22.0,actif
8,Delta,Kankan,25.0,inactif
9,Delta,Labé,22.0,actif
10,Alpha,Labé,25.0,actif
11,Alpha,Labé,22.0,inactif
12,Gamma,Conakry,23.529411764705884,actif
13,Delta,Labé,18.0,actif
14,Beta,Kindia,18.0,actif
15,Gamma,Conakry,22.0,actif
16,Alpha,Kindia,22.0,actif
17,Gamma,Conakry,25.0,actif
18,Delta,Labé,35.0,inactif
19,Beta,Kindia,25.0,actif
20,Alpha,Labé,23.529411764705884,actif
